Menu,Category,Base Type,Flavor Tags,Customizable Sweetness,Available Sweetness Level,Allergens,Contains Caffeine,Contains Gluten,Oat Milk Substitution ,Vegan-friendly,Contains dairy
Kung Fu Black Tea,Classic,Black ,"Bold, Citrusy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Winter Melon Tea,Classic,Water,"Sweet, Smooth, Normal",Yes,"30, 50, 70, 100",No,No,No,No,Yes,No
Honey Green Tea,Classic,Green ,"Sweet, Normal",Yes,"30, 50, 70, 100",No,Yes,No,No,No,No
Kung Fu Green Tea,Classic,Green ,"Refreshing, Sweet, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Winter Melon Green Tea,Classic,Green ,"Smooth, Normal",Yes,"30, 50, 70, 100",No,Yes,No,No,Yes,No
Kung Fu Oolong Tea,Classic,Oolong ,"Sweet, Fresh, Toasty, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Honey Oolong Tea,Classic,Oolong,"Rich, Smooth, Normal, Sweet",Yes,"30, 50, 70, 100",No,Yes,No,No,No,No
Kung Fu Honey Tea,Classic,Water,"Rich, Sweet, Normal",Yes,"30, 50, 70, 100",No,No,No,No,No,No
Honey Black Tea,Classic,Black ,"Rich, Sweet, Bold, Normal",Yes,"30, 50, 70, 100",No,Yes,No,No,No,No
Longan Jujube Tea,Classic,Water,"Sweet, Rich",Yes,"70, 100",No,No,No,No,Yes,No
Brown Sugar Ginger,Classic,Water,"Spicy, Sweet",No,100,No,No,No,No,Yes,No
Kung Fu Thai Tea,Classic,Thai,"Normal, Spicy",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Kung Fu Honey Thai Tea,Classic,Thai,"Smooth, Spicy, Sweet",Yes,"30, 50, 70, 100",No,Yes,No,No,No,No
Apple Black Tea,Punch,Black,"Fruity, Sweet, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Apple Green Tea,Punch,Green,"Fruity, Sweet, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Apple Oolong Tea,Punch,Oolong,"Fruity, Sweet, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Kiwi Punch,Punch,"Green, Water","Sweet, Fruity, Tangy, Refreshing",Yes,"30, 50, 70, 100, 120",No,Yes,No,No,No,No
Tropcal Punch,Punch,Water,"Sweet, Fruity, Tangy, Refreshing",Yes,"30, 50, 70, 100",No,No,No,No,No,No
Honey Lemonade,Punch,Water,"Sweet, Fruity",Yes,"30, 50, 70, 100",No,No,No,No,No,No
Lemon Black Tea,Punch,Black,"Bold, Fruity, Refreshing",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Lemon Green Tea,Punch,Green,"Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Peach Green Tea,Punch,Green,"Fruity, Refreshing",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Lychee Punch,Punch,Green,"Sweet, Fruity",Yes,"30, 50, 70, 100",No,Yes,No,No,Yes,No
Peach Oolong Tea,Punch,Oolong,"Refreshing, Sweet, Fruity",Yes,"50, 70, 100",No,Yes,No,No,No,No
White Grape Punch,Punch,Green,"Sweet, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Guava Punch,Punch,"Green, Water","Tangy, Refreshing, Sweet, Citrus, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Guava Black Tea,Punch,"Black, Water","Tangy, Sweet, Citrus, Bold, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Mango Green Tea,Punch,Green,"Sweet, Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Orange Green Tea,Punch,Green,"Refreshing, Sweeet, Tart, Fruity ",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Grapefruit Green Tea,Punch,Green,"Refreshing, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Sunshine Pinapple Tea,Punch,Green,"Refreshing, Fruity",Yes,"70, 100",No,Yes,No,No,Yes,No
Passion Fruit Green Tea,Punch,Green,"Sweet, Fruity, Tart",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,Yes,No
Strawberry Lemonade,Punch,Water,"Sweet, Fruity",Yes,"70, 100",No,No,No,No,Yes,No
Lychee Black Tea,Punch,Black,"Sweet, Bold, Refreshing, Fruity",Yes,"30, 50, 70, 100",No,Yes,No,No,Yes,No
Strawberry Lemonade Green Tea,Punch,Green,"Sweet, Tart, Fruity",Yes,"70, 100",No,Yes,No,No,Yes,No
Rosehip Lemonade,Punch,Water,"Refreshing, Tart, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,No,No,No,Yes,No
Winter Melon Lemonade,Punch,Water,"Smooth, Refreshing",Yes,"70, 100",No,No,No,No,Yes,No
Rosehip Pineapple,Punch,Water,"Refreshing, Sweet, Fruity",Yes,"70, 100",No,No,No,No,Yes,No
Sunshine Grape-ade,Punch,Water,"Sweet, Tart, Fruity",Yes,"70, 100",No,No,No,No,No,No
Honey Thai Milk Tea,Milk Tea,Thai,"Creamy, Bold",Yes,"30, 50, 70, 100, 120",No,Yes,No,No,No,No
Kung Fu Milk Tea,Milk Tea,Black,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Malted Black Milk Tea,Milk Tea,Black,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,Yes,No,No,No
Malted Milk Green Tea,Milk Tea,Green,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,Yes,No,No,No
Malted Oolong Milk Tea,Milk Tea,Oolong,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,Yes,No,No,No
Malted Thai Milk Tea,Milk Tea,Thai,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,Yes,No,No,No
Espresso Thai Milk Tea,Milk Tea,Thai,"Coffee, Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Kung Fu Milk Green Tea,Milk Tea,Green,"Creamy, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Roasted Chestnut Milk Tea,Milk Tea,Oolong,"Creamy, Normal, Savory, Nutty",Yes,"0, 30, 50, 70, 100, 120",Tree Nut,Yes,No,No,No,No
Strawberry Milk Tea,Milk Tea,Black,"Creamy, Fruity, Sweet",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Mango Milk Tea,Milk Tea,Oolong,"Creamy, Sweet, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Peach Milk Tea,Milk Tea,Oolong,"Creamy, Sweet, Fruity",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,Yes
Toffee Thai Tea ,Milk Tea,Thai,"Creamy, Buttery, Normal",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Kung Fu Oolong Milk Tea,Milk Tea,Oolong,"Toasty, Creamy, Sweet, Smooth",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Taro Milk Tea,Milk Tea,Black,"Sweet, Creamy",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Taro Milk Green Tea,Milk Tea,Green,"Sweet, Creamy",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
"Creamy, Sweet, Salty, Chocolate",Milk Tea,Black,"Richy, Creamy, Nutty",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
Coffee Milk Tea,Milk Tea,Black,"Coffee, Creamy, Sweet, Bold",Yes,"0, 30, 50, 70, 100, 120",No,Yes,No,No,No,No
